epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.1	0.1	0.5	100.0	0.0	89.0	0.0	11.0	0.14316039085388182	0.13089067999999995	0.057526469999999996	14.04	1962.98	3.0	33.86	25.05	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.1	0.6	100.0	0.0	89.0	0.0	11.0	0.12278355836868286	0.11169564	0.05049757	14.04	1964.6	3.0	33.92	25.09	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.1	0.7	100.0	0.0	89.0	0.0	11.0	0.12274175405502319	0.11172659999999998	0.050716330000000004	14.04	1964.6	3.0	33.92	25.09	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.1	0.8	100.0	0.0	89.0	0.0	11.0	0.1237509298324585	0.11261545	0.051167420000000005	14.04	1964.6	3.0	33.92	25.09	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.1	0.9	100.0	0.0	89.0	0.0	11.0	0.12337306261062622	0.11216444999999998	0.05078413	14.03	1972.34	3.0	33.88	25.05	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.2	0.5	100.0	0.0	89.0	0.0	11.0	0.12591848134994507	0.11464756999999995	0.05267438	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.2	0.6	100.0	0.0	89.0	0.0	11.0	0.1296478819847107	0.11874327000000004	0.05485684999999999	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.2	0.7	100.0	0.0	89.0	0.0	11.0	0.13444605827331543	0.12314321999999997	0.056358280000000004	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.2	0.8	100.0	0.0	89.0	0.0	11.0	0.13489046335220337	0.12379041	0.05703954000000001	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.2	0.9	100.0	0.0	89.0	0.0	11.0	0.13497230052947998	0.12365783000000005	0.057270919999999996	13.27	1974.39	3.0	34.62	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.1	0.3	0.5	100.0	0.0	89.0	0.0	11.0	0.13357398986816407	0.12259538000000003	0.05597106	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
