
Reading from file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_75.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/results/AdjacencyMatrix/tsp_100_nodes_classic/tsp_result_75.txt'

Optimal tour found with candidate node = 19, elapsed time = 10.181482s and interrupted = FALSE

B-&-B tree with generated BBNodes = 8531,  explored BBNodes = 713 and max tree level = 8

SUBPROBLEM with cost = 8.089941, type = CLOSED_NEW_BEST, level of the BB tree = 3, prob = 0.000000, BBNode number = 3138 and time to obtain = 6.537160s
MST or 1-Tree with cost: 8.195044 and validity = TRUE
Edge2202: 25 <--> 52 weight = 0.078385 prob = 0.000000
Edge987: 10 <--> 52 weight = 0.071300 prob = 0.000000
Edge1010: 10 <--> 75 weight = 0.027857 prob = 0.000000
Edge4491: 69 <--> 75 weight = 0.127134 prob = 0.000000
Edge4140: 59 <--> 69 weight = 0.154370 prob = 0.000000
Edge4142: 59 <--> 71 weight = 0.096896 prob = 0.000000
Edge1841: 20 <--> 71 weight = 0.063410 prob = 0.000000
Edge1867: 20 <--> 97 weight = 0.174958 prob = 0.000000
Edge4717: 77 <--> 97 weight = 0.026790 prob = 0.000000
Edge3497: 45 <--> 77 weight = 0.149517 prob = 0.000000
Edge1241: 13 <--> 45 weight = 0.018222 prob = 0.000000
Edge1281: 13 <--> 85 weight = 0.149967 prob = 0.000000
Edge3045: 37 <--> 85 weight = 0.110018 prob = 0.000000
Edge2677: 32 <--> 37 weight = 0.039515 prob = 0.000000
Edge2693: 32 <--> 53 weight = 0.028982 prob = 0.000000
Edge3900: 53 <--> 84 weight = 0.093428 prob = 0.000000
Edge4584: 72 <--> 84 weight = 0.113724 prob = 0.000000
Edge4579: 72 <--> 79 weight = 0.093149 prob = 0.000000
Edge3552: 46 <--> 79 weight = 0.061926 prob = 0.000000
Edge3567: 46 <--> 94 weight = 0.108777 prob = 0.000000
Edge4692: 76 <--> 94 weight = 0.069123 prob = 0.000000
Edge1357: 14 <--> 76 weight = 0.042099 prob = 0.000000
Edge1341: 14 <--> 60 weight = 0.094436 prob = 0.000000
Edge1671: 18 <--> 60 weight = 0.039702 prob = 0.000000
Edge1679: 18 <--> 68 weight = 0.115014 prob = 0.000000
Edge1178: 12 <--> 68 weight = 0.045240 prob = 0.000000
Edge585: 6 <--> 12 weight = 0.056510 prob = 0.000000
Edge643: 6 <--> 70 weight = 0.078042 prob = 0.000000
Edge4101: 58 <--> 70 weight = 0.147797 prob = 0.000000
Edge2563: 30 <--> 58 weight = 0.127098 prob = 0.000000
Edge225: 2 <--> 30 weight = 0.106893 prob = 0.000000
Edge202: 2 <--> 7 weight = 0.102504 prob = 0.000000
Edge745: 7 <--> 80 weight = 0.056703 prob = 0.000000
Edge560: 5 <--> 80 weight = 0.024547 prob = 0.000000
Edge515: 5 <--> 35 weight = 0.017884 prob = 0.000000
Edge881: 9 <--> 35 weight = 0.063236 prob = 0.000000
Edge893: 9 <--> 47 weight = 0.045990 prob = 0.000000
Edge2270: 26 <--> 47 weight = 0.061982 prob = 0.000000
Edge2296: 26 <--> 73 weight = 0.064635 prob = 0.000000
Edge73: 0 <--> 73 weight = 0.065838 prob = 0.000000
Edge28: 0 <--> 28 weight = 0.060817 prob = 0.000000
Edge2458: 28 <--> 92 weight = 0.067981 prob = 0.000000
Edge4929: 92 <--> 99 weight = 0.091408 prob = 0.000000
Edge4320: 63 <--> 99 weight = 0.074065 prob = 0.000000
Edge4308: 63 <--> 87 weight = 0.027641 prob = 0.000000
Edge2660: 31 <--> 87 weight = 0.064132 prob = 0.000000
Edge2614: 31 <--> 41 weight = 0.040569 prob = 0.000000
Edge3284: 41 <--> 86 weight = 0.070918 prob = 0.000000
Edge3167: 39 <--> 86 weight = 0.170922 prob = 0.000000
Edge3163: 39 <--> 82 weight = 0.146399 prob = 0.000000
Edge1530: 16 <--> 82 weight = 0.111395 prob = 0.000000
Edge1481: 16 <--> 33 weight = 0.090891 prob = 0.000000
Edge2761: 33 <--> 55 weight = 0.042002 prob = 0.000000
Edge3916: 54 <--> 55 weight = 0.098822 prob = 0.000000
Edge3777: 51 <--> 54 weight = 0.027260 prob = 0.000000
Edge3362: 43 <--> 51 weight = 0.150517 prob = 0.000000
Edge1408: 15 <--> 43 weight = 0.053624 prob = 0.000000
Edge1431: 15 <--> 66 weight = 0.113626 prob = 0.000000
Edge4322: 64 <--> 66 weight = 0.046520 prob = 0.000000
Edge3739: 50 <--> 64 weight = 0.060900 prob = 0.000000
Edge3771: 50 <--> 96 weight = 0.086103 prob = 0.000000
Edge1119: 11 <--> 96 weight = 0.048363 prob = 0.000000
Edge1088: 11 <--> 65 weight = 0.140690 prob = 0.000000
Edge356: 3 <--> 65 weight = 0.072391 prob = 0.000000
Edge314: 3 <--> 23 weight = 0.099526 prob = 0.000000
Edge4921: 91 <--> 98 weight = 0.064130 prob = 0.000000
Edge2849: 34 <--> 78 weight = 0.050744 prob = 0.000000
Edge1943: 21 <--> 95 weight = 0.029512 prob = 0.000000
Edge3643: 48 <--> 67 weight = 0.074685 prob = 0.000000
Edge804: 8 <--> 48 weight = 0.076992 prob = 0.000000
Edge4640: 74 <--> 89 weight = 0.012489 prob = 0.000000
Edge778: 8 <--> 22 weight = 0.045304 prob = 0.000000
Edge2138: 24 <--> 62 weight = 0.038963 prob = 0.000000
Edge4041: 56 <--> 93 weight = 0.051132 prob = 0.000000
Edge4080: 57 <--> 90 weight = 0.104695 prob = 0.000000
Edge2099: 23 <--> 98 weight = 0.126626 prob = 0.000000
Edge4010: 56 <--> 62 weight = 0.047232 prob = 0.000000
Edge2497: 29 <--> 61 weight = 0.073929 prob = 0.000000
Edge2335: 27 <--> 40 weight = 0.080828 prob = 0.000000
Edge3114: 38 <--> 93 weight = 0.084696 prob = 0.000000
Edge4886: 88 <--> 90 weight = 0.093560 prob = 0.000000
Edge3455: 44 <--> 89 weight = 0.059028 prob = 0.000000
Edge2813: 34 <--> 42 weight = 0.080231 prob = 0.000000
Edge1604: 17 <--> 74 weight = 0.035173 prob = 0.000000
Edge1613: 17 <--> 83 weight = 0.022351 prob = 0.000000
Edge3104: 38 <--> 83 weight = 0.045538 prob = 0.000000
Edge1954: 22 <--> 29 weight = 0.096996 prob = 0.000000
Edge428: 4 <--> 42 weight = 0.061352 prob = 0.000000
Edge481: 4 <--> 95 weight = 0.099658 prob = 0.000000
Edge165: 1 <--> 67 weight = 0.152774 prob = 0.000000
Edge4226: 61 <--> 78 weight = 0.161541 prob = 0.000000
Edge2386: 27 <--> 91 weight = 0.141373 prob = 0.000000
Edge2164: 24 <--> 88 weight = 0.105217 prob = 0.000000
Edge1892: 21 <--> 44 weight = 0.112918 prob = 0.000000
Edge179: 1 <--> 81 weight = 0.130022 prob = 0.000000
Edge2947: 36 <--> 49 weight = 0.065830 prob = 0.000000
Edge2955: 36 <--> 57 weight = 0.150879 prob = 0.000000
Edge3221: 40 <--> 81 weight = 0.124404 prob = 0.000000
Edge1716: 19 <--> 25 weight = 0.065462 prob = 0.000000
Edge1740: 19 <--> 49 weight = 0.052598 prob = 0.000000

Cycle with 100 edges:  19 <-> 25   25 <-> 52   10 <-> 52   10 <-> 75   69 <-> 75   59 <-> 69   59 <-> 71   20 <-> 71   20 <-> 97   77 <-> 97   45 <-> 77   13 <-> 45   13 <-> 85   37 <-> 85   32 <-> 37   32 <-> 53   53 <-> 84   72 <-> 84   72 <-> 79   46 <-> 79   46 <-> 94   76 <-> 94   14 <-> 76   14 <-> 60   18 <-> 60   18 <-> 68   12 <-> 68   6 <-> 12   6 <-> 70   58 <-> 70   30 <-> 58   2 <-> 30   2 <-> 7   7 <-> 80   5 <-> 80   5 <-> 35   9 <-> 35   9 <-> 47   26 <-> 47   26 <-> 73   0 <-> 73   0 <-> 28   28 <-> 92   92 <-> 99   63 <-> 99   63 <-> 87   31 <-> 87   31 <-> 41   41 <-> 86   39 <-> 86   39 <-> 82   16 <-> 82   16 <-> 33   33 <-> 55   54 <-> 55   51 <-> 54   43 <-> 51   15 <-> 43   15 <-> 66   64 <-> 66   50 <-> 64   50 <-> 96   11 <-> 96   11 <-> 65   3 <-> 65   3 <-> 23   23 <-> 98   91 <-> 98   27 <-> 91   27 <-> 40   40 <-> 81   1 <-> 81   1 <-> 67   48 <-> 67   8 <-> 48   8 <-> 22   22 <-> 29   29 <-> 61   61 <-> 78   34 <-> 78   34 <-> 42   4 <-> 42   4 <-> 95   21 <-> 95   21 <-> 44   44 <-> 89   74 <-> 89   17 <-> 74   17 <-> 83   38 <-> 83   38 <-> 93   56 <-> 93   56 <-> 62   24 <-> 62   24 <-> 88   88 <-> 90   57 <-> 90   36 <-> 57   36 <-> 49   19 <-> 49 
