
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_14.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_14.txt'
CAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsi
Optimal tour found with candidate node = 28, elapsed time = 2.234933s and interrupted = FALSE

B-&-B tree with generated BBNodes = 69,  explored BBNodes = 54 and max tree level = 9

Number of fixed edges = 6543

SUBPROBLEM with cost = 7.971521, type = CLOSED_NEW_BEST, level of the BB tree = 4, prob = 0.981972, BBNode number = 14 and time to obtain = 1.404852s
MST or 1-Tree with cost: 8.002356 and validity = TRUE
Edge645: 6 <--> 72 weight = 0.034797 prob = 1.000000
Edge758: 7 <--> 93 weight = 0.084781 prob = 0.994261
Edge1201: 12 <--> 91 weight = 0.003658 prob = 1.000000
Edge1506: 16 <--> 58 weight = 0.056728 prob = 0.988143
Edge1773: 19 <--> 82 weight = 0.021089 prob = 1.000000
Edge1861: 20 <--> 91 weight = 0.117734 prob = 0.992251
Edge2301: 26 <--> 78 weight = 0.198045 prob = 1.000000
Edge2312: 26 <--> 89 weight = 0.171130 prob = 0.987054
Edge2498: 29 <--> 62 weight = 0.125445 prob = 0.448355
Edge2523: 29 <--> 87 weight = 0.019601 prob = 1.000000
Edge3332: 42 <--> 77 weight = 0.039430 prob = 1.000000
Edge3501: 45 <--> 81 weight = 0.052304 prob = 1.000000
Edge4010: 56 <--> 62 weight = 0.171294 prob = 1.000000
Edge4120: 58 <--> 89 weight = 0.043767 prob = 1.000000
Edge4654: 75 <--> 79 weight = 0.035734 prob = 1.000000
Edge4833: 84 <--> 87 weight = 0.037016 prob = 1.000000
Edge1153: 12 <--> 43 weight = 0.122481 prob = 0.986108
Edge1493: 16 <--> 45 weight = 0.136771 prob = 0.985391
Edge927: 9 <--> 81 weight = 0.160925 prob = 0.976224
Edge4838: 84 <--> 92 weight = 0.176722 prob = 0.386734
Edge3247: 41 <--> 49 weight = 0.009257 prob = 1.000000
Edge3811: 51 <--> 88 weight = 0.008786 prob = 1.000000
Edge2876: 35 <--> 41 weight = 0.012881 prob = 1.000000
Edge3775: 51 <--> 52 weight = 0.038757 prob = 0.999931
Edge3860: 52 <--> 90 weight = 0.048533 prob = 1.000000
Edge49: 0 <--> 49 weight = 0.064743 prob = 0.999398
Edge3599: 47 <--> 74 weight = 0.010976 prob = 1.000000
Edge3670: 48 <--> 94 weight = 0.019526 prob = 1.000000
Edge773: 8 <--> 17 weight = 0.030703 prob = 1.000000
Edge2371: 27 <--> 76 weight = 0.025125 prob = 1.000000
Edge4940: 94 <--> 99 weight = 0.024603 prob = 1.000000
Edge3646: 48 <--> 70 weight = 0.056550 prob = 1.000000
Edge1646: 18 <--> 35 weight = 0.074014 prob = 0.987150
Edge1567: 17 <--> 37 weight = 0.063086 prob = 0.997532
Edge2811: 34 <--> 40 weight = 0.025969 prob = 1.000000
Edge3556: 46 <--> 83 weight = 0.045604 prob = 1.000000
Edge116: 1 <--> 18 weight = 0.047760 prob = 1.000000
Edge1767: 19 <--> 76 weight = 0.074207 prob = 1.000000
Edge2131: 24 <--> 55 weight = 0.026016 prob = 1.000000
Edge966: 10 <--> 31 weight = 0.049248 prob = 1.000000
Edge1988: 22 <--> 63 weight = 0.058309 prob = 1.000000
Edge4225: 61 <--> 77 weight = 0.098623 prob = 1.000000
Edge3960: 54 <--> 99 weight = 0.063018 prob = 1.000000
Edge1884: 21 <--> 36 weight = 0.102007 prob = 0.999928
Edge3969: 55 <--> 64 weight = 0.023661 prob = 1.000000
Edge1916: 21 <--> 68 weight = 0.063966 prob = 0.999964
Edge3603: 47 <--> 78 weight = 0.110815 prob = 1.000000
Edge789: 8 <--> 33 weight = 0.101254 prob = 0.990862
Edge3553: 46 <--> 80 weight = 0.044190 prob = 1.000000
Edge2380: 27 <--> 85 weight = 0.056282 prob = 1.000000
Edge2076: 23 <--> 75 weight = 0.068373 prob = 0.998626
Edge4240: 61 <--> 92 weight = 0.028205 prob = 1.000000
Edge934: 9 <--> 88 weight = 0.098222 prob = 0.999740
Edge4606: 73 <--> 80 weight = 0.032879 prob = 1.000000
Edge3149: 39 <--> 68 weight = 0.074544 prob = 0.999930
Edge4033: 56 <--> 85 weight = 0.046567 prob = 1.000000
Edge4452: 67 <--> 97 weight = 0.057577 prob = 1.000000
Edge2636: 31 <--> 63 weight = 0.088699 prob = 1.000000
Edge4633: 74 <--> 82 weight = 0.107624 prob = 1.000000
Edge1018: 10 <--> 83 weight = 0.078856 prob = 1.000000
Edge3319: 42 <--> 64 weight = 0.081905 prob = 1.000000
Edge503: 5 <--> 23 weight = 0.109454 prob = 0.973546
Edge3050: 37 <--> 90 weight = 0.139605 prob = 1.000000
Edge1240: 13 <--> 44 weight = 0.029265 prob = 0.999427
Edge3065: 38 <--> 44 weight = 0.066936 prob = 0.979714
Edge443: 4 <--> 57 weight = 0.072455 prob = 0.999879
Edge265: 2 <--> 70 weight = 0.099387 prob = 1.000000
Edge264: 2 <--> 69 weight = 0.054560 prob = 1.000000
Edge3920: 54 <--> 59 weight = 0.093590 prob = 1.000000
Edge2735: 32 <--> 95 weight = 0.060896 prob = 1.000000
Edge1073: 11 <--> 50 weight = 0.042696 prob = 0.982368
Edge576: 5 <--> 96 weight = 0.113366 prob = 0.993699
Edge4069: 57 <--> 79 weight = 0.118803 prob = 0.984627
Edge3741: 50 <--> 66 weight = 0.045332 prob = 0.999993
Edge4386: 65 <--> 96 weight = 0.075352 prob = 0.998652
Edge4511: 69 <--> 95 weight = 0.057702 prob = 1.000000
Edge2142: 24 <--> 66 weight = 0.085178 prob = 0.979985
Edge2217: 25 <--> 67 weight = 0.072370 prob = 1.000000
Edge1045: 11 <--> 22 weight = 0.076400 prob = 1.000000
Edge298: 3 <--> 7 weight = 0.106848 prob = 0.968147
Edge3914: 53 <--> 98 weight = 0.055797 prob = 1.000000
Edge4624: 73 <--> 98 weight = 0.072793 prob = 1.000000
Edge2537: 30 <--> 32 weight = 0.061261 prob = 0.987768
Edge4181: 60 <--> 71 weight = 0.097297 prob = 0.999985
Edge3875: 53 <--> 59 weight = 0.076092 prob = 1.000000
Edge3226: 40 <--> 86 weight = 0.099036 prob = 0.947494
Edge1282: 13 <--> 86 weight = 0.060394 prob = 0.957962
Edge2777: 33 <--> 71 weight = 0.167477 prob = 0.976118
Edge4175: 60 <--> 65 weight = 0.099286 prob = 0.993662
Edge2868: 34 <--> 97 weight = 0.122144 prob = 0.967069
Edge3153: 39 <--> 72 weight = 0.152282 prob = 0.965183
Edge422: 4 <--> 36 weight = 0.151273 prob = 0.982523
Edge15: 0 <--> 15 weight = 0.163830 prob = 0.978944
Edge3114: 38 <--> 93 weight = 0.085944 prob = 0.971738
Edge334: 3 <--> 43 weight = 0.124393 prob = 0.989308
Edge1800: 20 <--> 30 weight = 0.141746 prob = 1.000000
Edge104: 1 <--> 6 weight = 0.143410 prob = 0.999738
Edge1296: 14 <--> 15 weight = 0.133852 prob = 0.999835
Edge1309: 14 <--> 28 weight = 0.168623 prob = 1.000000
Edge2178: 25 <--> 28 weight = 0.223023 prob = 0.902264

