
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_39.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_39.txt'
CAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsi
Optimal tour found with candidate node = 84, elapsed time = 0.807694s and interrupted = FALSE

B-&-B tree with generated BBNodes = 17,  explored BBNodes = 13 and max tree level = 6

Number of fixed edges = 5056

SUBPROBLEM with cost = 7.437509, type = CLOSED_NEW_BEST, level of the BB tree = 5, prob = 0.989212, BBNode number = 15 and time to obtain = 0.774516s
MST or 1-Tree with cost: 7.304948 and validity = TRUE
Edge40: 0 <--> 40 weight = 0.042190 prob = 1.000000
Edge97: 0 <--> 97 weight = 0.065905 prob = 1.000000
Edge115: 1 <--> 17 weight = 0.103595 prob = 1.000000
Edge127: 1 <--> 29 weight = 0.071431 prob = 1.000000
Edge295: 3 <--> 4 weight = 0.066575 prob = 0.987114
Edge340: 3 <--> 49 weight = 0.051101 prob = 0.993439
Edge537: 5 <--> 57 weight = 0.038359 prob = 1.000000
Edge569: 5 <--> 89 weight = 0.094348 prob = 0.999951
Edge584: 6 <--> 11 weight = 0.028834 prob = 1.000000
Edge746: 7 <--> 81 weight = 0.033141 prob = 1.000000
Edge752: 7 <--> 87 weight = 0.089205 prob = 0.467185
Edge775: 8 <--> 19 weight = 0.042284 prob = 0.999026
Edge792: 8 <--> 36 weight = 0.143208 prob = 0.995775
Edge883: 9 <--> 37 weight = 0.049684 prob = 1.000000
Edge885: 9 <--> 39 weight = 0.046861 prob = 1.000000
Edge982: 10 <--> 47 weight = 0.046247 prob = 1.000000
Edge1071: 11 <--> 48 weight = 0.106705 prob = 0.996987
Edge1181: 12 <--> 71 weight = 0.056028 prob = 1.000000
Edge1196: 12 <--> 86 weight = 0.015173 prob = 1.000000
Edge1307: 14 <--> 26 weight = 0.043004 prob = 1.000000
Edge1537: 16 <--> 89 weight = 0.071648 prob = 0.996253
Edge1543: 16 <--> 95 weight = 0.050525 prob = 1.000000
Edge1570: 17 <--> 40 weight = 0.096530 prob = 0.999855
Edge1746: 19 <--> 55 weight = 0.020875 prob = 0.999504
Edge1871: 21 <--> 23 weight = 0.115215 prob = 0.998743
Edge2194: 25 <--> 44 weight = 0.107412 prob = 1.000000
Edge2220: 25 <--> 70 weight = 0.118841 prob = 1.000000
Edge2311: 26 <--> 88 weight = 0.077135 prob = 1.000000
Edge2454: 28 <--> 88 weight = 0.182207 prob = 0.987732
Edge2506: 29 <--> 70 weight = 0.142815 prob = 1.000000
Edge2558: 30 <--> 53 weight = 0.026856 prob = 1.000000
Edge2629: 31 <--> 56 weight = 0.025257 prob = 0.997799
Edge2668: 31 <--> 95 weight = 0.085023 prob = 0.995423
Edge2678: 32 <--> 38 weight = 0.057699 prob = 1.000000
Edge2766: 33 <--> 60 weight = 0.083681 prob = 0.995653
Edge2830: 34 <--> 59 weight = 0.151620 prob = 0.999759
Edge2847: 34 <--> 76 weight = 0.070242 prob = 0.999612
Edge2890: 35 <--> 55 weight = 0.150401 prob = 0.995917
Edge2892: 35 <--> 57 weight = 0.086623 prob = 1.000000
Edge2994: 36 <--> 96 weight = 0.062505 prob = 1.000000
Edge3042: 37 <--> 82 weight = 0.091189 prob = 0.985909
Edge3168: 39 <--> 87 weight = 0.023261 prob = 1.000000
Edge3383: 43 <--> 72 weight = 0.021328 prob = 0.999643
Edge3386: 43 <--> 75 weight = 0.053930 prob = 0.996122
Edge3452: 44 <--> 86 weight = 0.070249 prob = 1.000000
Edge3639: 48 <--> 63 weight = 0.025557 prob = 0.999602
Edge3707: 49 <--> 81 weight = 0.077616 prob = 0.981871
Edge3760: 50 <--> 85 weight = 0.178698 prob = 0.989668
Edge3930: 54 <--> 69 weight = 0.034315 prob = 1.000000
Edge4026: 56 <--> 78 weight = 0.005459 prob = 1.000000
Edge4110: 58 <--> 79 weight = 0.033501 prob = 1.000000
Edge4149: 59 <--> 78 weight = 0.102515 prob = 1.000000
Edge4217: 61 <--> 69 weight = 0.142183 prob = 0.999968
Edge4233: 61 <--> 85 weight = 0.023728 prob = 1.000000
Edge4297: 63 <--> 76 weight = 0.026110 prob = 0.999635
Edge4372: 65 <--> 82 weight = 0.039753 prob = 1.000000
Edge4430: 67 <--> 75 weight = 0.103211 prob = 0.999759
Edge4452: 67 <--> 97 weight = 0.036516 prob = 1.000000
Edge4547: 71 <--> 74 weight = 0.055574 prob = 1.000000
Edge4647: 74 <--> 96 weight = 0.069769 prob = 1.000000
Edge4772: 80 <--> 92 weight = 0.072688 prob = 0.999648
Edge2061: 23 <--> 60 weight = 0.107374 prob = 0.998345
Edge2412: 28 <--> 46 weight = 0.134084 prob = 0.948007
Edge3572: 46 <--> 99 weight = 0.076523 prob = 0.999894
Edge1993: 22 <--> 68 weight = 0.012250 prob = 1.000000
Edge3862: 52 <--> 92 weight = 0.066587 prob = 0.999971
Edge2023: 22 <--> 98 weight = 0.034334 prob = 1.000000
Edge1429: 15 <--> 64 weight = 0.014797 prob = 0.995370
Edge3940: 54 <--> 79 weight = 0.089791 prob = 0.999495
Edge1407: 15 <--> 42 weight = 0.037383 prob = 0.998580
Edge222: 2 <--> 27 weight = 0.107455 prob = 1.000000
Edge4268: 62 <--> 83 weight = 0.072765 prob = 1.000000
Edge4922: 91 <--> 99 weight = 0.056661 prob = 1.000000
Edge3864: 52 <--> 94 weight = 0.098558 prob = 0.991910
Edge2778: 33 <--> 72 weight = 0.036518 prob = 0.998360
Edge4469: 68 <--> 83 weight = 0.077659 prob = 1.000000
Edge1860: 20 <--> 90 weight = 0.058036 prob = 1.000000
Edge4258: 62 <--> 73 weight = 0.050140 prob = 1.000000
Edge1294: 13 <--> 98 weight = 0.104265 prob = 1.000000
Edge410: 4 <--> 24 weight = 0.128749 prob = 0.751873
Edge3816: 51 <--> 93 weight = 0.040340 prob = 1.000000
Edge3349: 42 <--> 94 weight = 0.068171 prob = 0.966429
Edge1652: 18 <--> 41 weight = 0.052225 prob = 0.965245
Edge587: 6 <--> 14 weight = 0.092362 prob = 0.994618
Edge288: 2 <--> 93 weight = 0.101504 prob = 1.000000
Edge3896: 53 <--> 80 weight = 0.084441 prob = 0.994468
Edge2140: 24 <--> 64 weight = 0.023736 prob = 0.999688
Edge3740: 50 <--> 65 weight = 0.120432 prob = 0.989835
Edge4121: 58 <--> 90 weight = 0.094411 prob = 1.000000
Edge1878: 21 <--> 30 weight = 0.084563 prob = 0.999951
Edge3486: 45 <--> 66 weight = 0.049911 prob = 1.000000
Edge1656: 18 <--> 45 weight = 0.053896 prob = 0.999044
Edge4414: 66 <--> 91 weight = 0.054376 prob = 1.000000
Edge3068: 38 <--> 47 weight = 0.126018 prob = 1.000000
Edge1223: 13 <--> 27 weight = 0.163991 prob = 1.000000
Edge2691: 32 <--> 51 weight = 0.058967 prob = 1.000000
Edge1843: 20 <--> 73 weight = 0.071217 prob = 1.000000
