
Reading from file '/home/sciandra/Thesis/BranchAndBound1Tree/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_49.csv'

Writing to file '/home/sciandra/Thesis/BranchAndBound1Tree/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_49.txt'

Optimal tour found with candidate node = 40, elapsed time = 257.006981s and interrupted = FALSE

B-&-B tree with generated BBNodes = 20126,  explored BBNodes = 20126 and max tree level = 13

SUBPROBLEM with cost = 7.426247, type = CLOSED_HAMILTONIAN, level of the BB tree = 0, prob = 0.999510, BBNode number = 0 and time to obtain = 0.000000s
MST or 1-Tree with cost: 7.426247 and validity = TRUE
Edge298: 3 <--> 7 weight = 0.093068 prob = 1.000000
Edge348: 3 <--> 57 weight = 0.092675 prob = 1.000000
Edge4078: 57 <--> 88 weight = 0.131258 prob = 1.000000
Edge4474: 68 <--> 88 weight = 0.019125 prob = 1.000000
Edge3208: 40 <--> 68 weight = 0.079076 prob = 1.000000
Edge3235: 40 <--> 95 weight = 0.098199 prob = 1.000000
Edge3911: 53 <--> 95 weight = 0.125834 prob = 1.000000
Edge2693: 32 <--> 53 weight = 0.157413 prob = 1.000000
Edge1723: 19 <--> 32 weight = 0.124525 prob = 1.000000
Edge1740: 19 <--> 49 weight = 0.124583 prob = 1.000000
Edge2199: 25 <--> 49 weight = 0.041259 prob = 1.000000
Edge2239: 25 <--> 89 weight = 0.023362 prob = 1.000000
Edge4562: 71 <--> 89 weight = 0.082345 prob = 0.995341
Edge4292: 63 <--> 71 weight = 0.039256 prob = 0.994374
Edge1911: 21 <--> 63 weight = 0.015495 prob = 0.999494
Edge1881: 21 <--> 33 weight = 0.038674 prob = 0.995571
Edge2328: 27 <--> 33 weight = 0.115845 prob = 0.999951
Edge2349: 27 <--> 54 weight = 0.057501 prob = 1.000000
Edge249: 2 <--> 54 weight = 0.091275 prob = 0.998837
Edge223: 2 <--> 28 weight = 0.053385 prob = 0.997007
Edge2417: 28 <--> 51 weight = 0.017472 prob = 1.000000
Edge531: 5 <--> 51 weight = 0.039649 prob = 0.998437
Edge542: 5 <--> 62 weight = 0.097419 prob = 1.000000
Edge2897: 35 <--> 62 weight = 0.114578 prob = 1.000000
Edge2913: 35 <--> 78 weight = 0.009497 prob = 1.000000
Edge4739: 78 <--> 98 weight = 0.087454 prob = 0.998955
Edge4921: 91 <--> 98 weight = 0.035189 prob = 1.000000
Edge4536: 70 <--> 91 weight = 0.038001 prob = 1.000000
Edge3030: 37 <--> 70 weight = 0.039181 prob = 1.000000
Edge610: 6 <--> 37 weight = 0.054632 prob = 1.000000
Edge583: 6 <--> 10 weight = 0.028973 prob = 1.000000
Edge1015: 10 <--> 80 weight = 0.043721 prob = 1.000000
Edge2156: 24 <--> 80 weight = 0.040776 prob = 1.000000
Edge2134: 24 <--> 58 weight = 0.140716 prob = 1.000000
Edge3733: 50 <--> 58 weight = 0.146781 prob = 1.000000
Edge1331: 14 <--> 50 weight = 0.059945 prob = 1.000000
Edge1333: 14 <--> 52 weight = 0.018523 prob = 1.000000
Edge3250: 41 <--> 52 weight = 0.016797 prob = 1.000000
Edge3240: 41 <--> 42 weight = 0.133511 prob = 1.000000
Edge3339: 42 <--> 84 weight = 0.083600 prob = 1.000000
Edge3105: 38 <--> 84 weight = 0.065554 prob = 1.000000
Edge3094: 38 <--> 73 weight = 0.015331 prob = 1.000000
Edge4021: 56 <--> 73 weight = 0.030968 prob = 1.000000
Edge812: 8 <--> 56 weight = 0.034817 prob = 1.000000
Edge773: 8 <--> 17 weight = 0.054427 prob = 1.000000
Edge1597: 17 <--> 67 weight = 0.089232 prob = 1.000000
Edge4451: 67 <--> 96 weight = 0.078632 prob = 1.000000
Edge4206: 60 <--> 96 weight = 0.068054 prob = 0.998075
Edge4186: 60 <--> 76 weight = 0.086731 prob = 0.996339
Edge4366: 65 <--> 76 weight = 0.023165 prob = 1.000000
Edge4377: 65 <--> 87 weight = 0.127109 prob = 0.994126
Edge4158: 59 <--> 87 weight = 0.113513 prob = 1.000000
Edge4157: 59 <--> 86 weight = 0.089836 prob = 1.000000
Edge4872: 86 <--> 99 weight = 0.069605 prob = 1.000000
Edge2997: 36 <--> 99 weight = 0.017303 prob = 1.000000
Edge2937: 36 <--> 39 weight = 0.083436 prob = 1.000000
Edge2810: 34 <--> 39 weight = 0.056794 prob = 1.000000
Edge2861: 34 <--> 90 weight = 0.117890 prob = 1.000000
Edge2663: 31 <--> 90 weight = 0.071336 prob = 1.000000
Edge129: 1 <--> 31 weight = 0.151301 prob = 1.000000
Edge143: 1 <--> 45 weight = 0.029654 prob = 1.000000
Edge45: 0 <--> 45 weight = 0.191125 prob = 1.000000
Edge92: 0 <--> 92 weight = 0.102194 prob = 1.000000
Edge4852: 85 <--> 92 weight = 0.089766 prob = 1.000000
Edge2308: 26 <--> 85 weight = 0.058628 prob = 1.000000
Edge2302: 26 <--> 79 weight = 0.136364 prob = 0.996418
Edge4758: 79 <--> 97 weight = 0.032970 prob = 1.000000
Edge4597: 72 <--> 97 weight = 0.065696 prob = 0.992705
Edge3545: 46 <--> 72 weight = 0.120911 prob = 1.000000
Edge2551: 30 <--> 46 weight = 0.079142 prob = 1.000000
Edge2579: 30 <--> 74 weight = 0.113135 prob = 1.000000
Edge1522: 16 <--> 74 weight = 0.052100 prob = 0.999413
Edge1477: 16 <--> 29 weight = 0.031194 prob = 0.999597
Edge2491: 29 <--> 55 weight = 0.024674 prob = 0.999749
Edge3971: 55 <--> 66 weight = 0.098644 prob = 0.999878
Edge4322: 64 <--> 66 weight = 0.038298 prob = 1.000000
Edge4212: 61 <--> 64 weight = 0.118486 prob = 0.999852
Edge447: 4 <--> 61 weight = 0.105715 prob = 0.999983
Edge397: 4 <--> 11 weight = 0.095905 prob = 0.999986
Edge1092: 11 <--> 69 weight = 0.029522 prob = 1.000000
Edge915: 9 <--> 69 weight = 0.093850 prob = 0.999310
Edge939: 9 <--> 93 weight = 0.016021 prob = 1.000000
Edge4791: 81 <--> 93 weight = 0.031016 prob = 0.999738
Edge1692: 18 <--> 81 weight = 0.077350 prob = 0.999977
Edge1654: 18 <--> 43 weight = 0.189704 prob = 1.000000
Edge1408: 15 <--> 43 weight = 0.113995 prob = 1.000000
Edge1125: 12 <--> 15 weight = 0.187217 prob = 0.999816
Edge1192: 12 <--> 82 weight = 0.020993 prob = 1.000000
Edge4809: 82 <--> 94 weight = 0.116416 prob = 0.998615
Edge4825: 83 <--> 94 weight = 0.055298 prob = 1.000000
Edge4658: 75 <--> 83 weight = 0.032516 prob = 1.000000
Edge3651: 48 <--> 75 weight = 0.061059 prob = 1.000000
Edge1973: 22 <--> 48 weight = 0.013547 prob = 1.000000
Edge1969: 22 <--> 44 weight = 0.027806 prob = 1.000000
Edge3443: 44 <--> 77 weight = 0.090162 prob = 1.000000
Edge2078: 23 <--> 77 weight = 0.124164 prob = 1.000000
Edge2048: 23 <--> 47 weight = 0.088521 prob = 0.999574
Edge1243: 13 <--> 47 weight = 0.063587 prob = 0.999918
Edge1216: 13 <--> 20 weight = 0.045890 prob = 1.000000
Edge685: 7 <--> 20 weight = 0.067413 prob = 1.000000

Cycle with 100 edges:  7 <-> 3   3 <-> 57   57 <-> 88   88 <-> 68   68 <-> 40   40 <-> 95   95 <-> 53   53 <-> 32   32 <-> 19   19 <-> 49   49 <-> 25   25 <-> 89   89 <-> 71   71 <-> 63   63 <-> 21   21 <-> 33   33 <-> 27   27 <-> 54   54 <-> 2   2 <-> 28   28 <-> 51   51 <-> 5   5 <-> 62   62 <-> 35   35 <-> 78   78 <-> 98   98 <-> 91   91 <-> 70   70 <-> 37   37 <-> 6   6 <-> 10   10 <-> 80   80 <-> 24   24 <-> 58   58 <-> 50   50 <-> 14   14 <-> 52   52 <-> 41   41 <-> 42   42 <-> 84   84 <-> 38   38 <-> 73   73 <-> 56   56 <-> 8   8 <-> 17   17 <-> 67   67 <-> 96   96 <-> 60   60 <-> 76   76 <-> 65   65 <-> 87   87 <-> 59   59 <-> 86   86 <-> 99   99 <-> 36   36 <-> 39   39 <-> 34   34 <-> 90   90 <-> 31   31 <-> 1   1 <-> 45   45 <-> 0   0 <-> 92   92 <-> 85   85 <-> 26   26 <-> 79   79 <-> 97   97 <-> 72   72 <-> 46   46 <-> 30   30 <-> 74   74 <-> 16   16 <-> 29   29 <-> 55   55 <-> 66   66 <-> 64   64 <-> 61   61 <-> 4   4 <-> 11   11 <-> 69   69 <-> 9   9 <-> 93   93 <-> 81   81 <-> 18   18 <-> 43   43 <-> 15   15 <-> 12   12 <-> 82   82 <-> 94   94 <-> 83   83 <-> 75   75 <-> 48   48 <-> 22   22 <-> 44   44 <-> 77   77 <-> 23   23 <-> 47   47 <-> 13   13 <-> 20   20 <-> 7
0 Mandatory edges:
0 Forbidden edges:
Time taken: 259.8012809753418s
