
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_60.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_60.txt'
CAsiCAsiCAsi
Optimal tour found with candidate node = 25, elapsed time = 0.463422s and interrupted = FALSE

B-&-B tree with generated BBNodes = 3,  explored BBNodes = 3 and max tree level = 1

Number of fixed edges = 4795

SUBPROBLEM with cost = 7.641431, type = CLOSED_NEAREST_NEIGHBOR_HYBRID, level of the BB tree = 0, prob = 0.996606, BBNode number = 0 and time to obtain = 0.000000s
MST or 1-Tree with cost: 7.641431 and validity = TRUE
Edge379: 3 <--> 88 weight = 0.025646 prob = 0.999997
Edge3858: 52 <--> 88 weight = 0.085597 prob = 0.992412
Edge2488: 29 <--> 52 weight = 0.103447 prob = 0.995914
Edge1720: 19 <--> 29 weight = 0.054691 prob = 0.999831
Edge405: 4 <--> 19 weight = 0.076884 prob = 0.990298
Edge477: 4 <--> 91 weight = 0.132486 prob = 0.999951
Edge4039: 56 <--> 91 weight = 0.116206 prob = 1.000000
Edge4017: 56 <--> 69 weight = 0.046562 prob = 1.000000
Edge1434: 15 <--> 69 weight = 0.106549 prob = 0.999999
Edge1381: 15 <--> 16 weight = 0.047792 prob = 1.000000
Edge862: 9 <--> 16 weight = 0.029379 prob = 1.000000
Edge908: 9 <--> 62 weight = 0.092163 prob = 1.000000
Edge3923: 54 <--> 62 weight = 0.048620 prob = 0.988317
Edge3135: 39 <--> 54 weight = 0.047613 prob = 0.998598
Edge3162: 39 <--> 81 weight = 0.086204 prob = 0.982235
Edge4337: 64 <--> 81 weight = 0.133876 prob = 1.000000
Edge729: 7 <--> 64 weight = 0.113742 prob = 1.000000
Edge705: 7 <--> 40 weight = 0.070005 prob = 1.000000
Edge2938: 36 <--> 40 weight = 0.078326 prob = 1.000000
Edge2609: 31 <--> 36 weight = 0.024223 prob = 1.000000
Edge2622: 31 <--> 49 weight = 0.077768 prob = 1.000000
Edge3304: 42 <--> 49 weight = 0.076743 prob = 1.000000
Edge3240: 41 <--> 42 weight = 0.078905 prob = 1.000000
Edge1237: 13 <--> 41 weight = 0.093821 prob = 1.000000
Edge1228: 13 <--> 32 weight = 0.136022 prob = 0.999952
Edge2710: 32 <--> 70 weight = 0.068577 prob = 1.000000
Edge3793: 51 <--> 70 weight = 0.077034 prob = 0.999877
Edge3808: 51 <--> 85 weight = 0.075081 prob = 0.979563
Edge4075: 57 <--> 85 weight = 0.026419 prob = 1.000000
Edge4068: 57 <--> 78 weight = 0.050585 prob = 0.997017
Edge2154: 24 <--> 78 weight = 0.048466 prob = 0.997975
Edge2111: 24 <--> 35 weight = 0.138906 prob = 0.986309
Edge2258: 26 <--> 35 weight = 0.097504 prob = 1.000000
Edge2253: 26 <--> 30 weight = 0.042201 prob = 1.000000
Edge2577: 30 <--> 72 weight = 0.172558 prob = 0.993864
Edge4593: 72 <--> 93 weight = 0.047666 prob = 0.999360
Edge1203: 12 <--> 93 weight = 0.053098 prob = 0.999054
Edge1148: 12 <--> 38 weight = 0.046433 prob = 1.000000
Edge3118: 38 <--> 97 weight = 0.175994 prob = 0.993612
Edge3772: 50 <--> 97 weight = 0.163448 prob = 0.994304
Edge2051: 23 <--> 50 weight = 0.074640 prob = 0.999995
Edge1634: 18 <--> 23 weight = 0.078254 prob = 0.999932
Edge213: 2 <--> 18 weight = 0.032473 prob = 1.000000
Edge258: 2 <--> 63 weight = 0.019320 prob = 1.000000
Edge4298: 63 <--> 77 weight = 0.104141 prob = 0.998206
Edge3388: 43 <--> 77 weight = 0.107673 prob = 0.996567
Edge3387: 43 <--> 76 weight = 0.063327 prob = 1.000000
Edge2226: 25 <--> 76 weight = 0.143352 prob = 0.999881
Edge2178: 25 <--> 28 weight = 0.201826 prob = 0.989245
Edge2410: 28 <--> 44 weight = 0.036152 prob = 1.000000
Edge3449: 44 <--> 83 weight = 0.096670 prob = 1.000000
