
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_61.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_61.txt'
CAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsiCAsi
Optimal tour found with candidate node = 44, elapsed time = 2.873057s and interrupted = FALSE

B-&-B tree with generated BBNodes = 113,  explored BBNodes = 69 and max tree level = 7

Number of fixed edges = 10754

SUBPROBLEM with cost = 7.872963, type = CLOSED_NEW_BEST, level of the BB tree = 6, prob = 0.994170, BBNode number = 49 and time to obtain = 2.277773s
MST or 1-Tree with cost: 7.860584 and validity = TRUE
Edge151: 1 <--> 53 weight = 0.084499 prob = 0.992307
Edge1510: 16 <--> 62 weight = 0.019970 prob = 1.000000
Edge2032: 23 <--> 31 weight = 0.005653 prob = 1.000000
Edge2813: 34 <--> 42 weight = 0.084060 prob = 1.000000
Edge4505: 69 <--> 89 weight = 0.127039 prob = 0.995680
Edge1875: 21 <--> 27 weight = 0.097988 prob = 0.989292
Edge3484: 45 <--> 64 weight = 0.038183 prob = 1.000000
Edge4759: 79 <--> 98 weight = 0.064744 prob = 1.000000
Edge2065: 23 <--> 64 weight = 0.036371 prob = 0.998707
Edge3482: 45 <--> 62 weight = 0.037948 prob = 1.000000
Edge2804: 33 <--> 98 weight = 0.067754 prob = 0.999937
Edge4396: 66 <--> 73 weight = 0.039309 prob = 1.000000
Edge3316: 42 <--> 61 weight = 0.077206 prob = 1.000000
Edge1017: 10 <--> 82 weight = 0.038569 prob = 1.000000
Edge2657: 31 <--> 84 weight = 0.071357 prob = 0.987571
Edge3144: 39 <--> 63 weight = 0.095050 prob = 1.000000
Edge1831: 20 <--> 61 weight = 0.037441 prob = 1.000000
Edge1637: 18 <--> 26 weight = 0.043179 prob = 1.000000
Edge4460: 68 <--> 74 weight = 0.019361 prob = 1.000000
Edge4922: 91 <--> 99 weight = 0.023629 prob = 1.000000
Edge1866: 20 <--> 96 weight = 0.061492 prob = 1.000000
Edge4707: 77 <--> 87 weight = 0.046125 prob = 1.000000
Edge3162: 39 <--> 81 weight = 0.106650 prob = 0.998972
Edge4419: 66 <--> 96 weight = 0.081414 prob = 0.998639
Edge250: 2 <--> 55 weight = 0.040650 prob = 1.000000
Edge898: 9 <--> 52 weight = 0.059303 prob = 0.999993
Edge232: 2 <--> 37 weight = 0.024608 prob = 1.000000
Edge2565: 30 <--> 60 weight = 0.046052 prob = 1.000000
Edge1776: 19 <--> 85 weight = 0.081753 prob = 1.000000
Edge471: 4 <--> 85 weight = 0.042623 prob = 1.000000
Edge467: 4 <--> 81 weight = 0.078366 prob = 1.000000
Edge4147: 59 <--> 76 weight = 0.026825 prob = 1.000000
Edge1266: 13 <--> 70 weight = 0.041717 prob = 1.000000
Edge1728: 19 <--> 37 weight = 0.117026 prob = 1.000000
Edge1993: 22 <--> 68 weight = 0.072126 prob = 1.000000
Edge51: 0 <--> 51 weight = 0.067386 prob = 1.000000
Edge1680: 18 <--> 69 weight = 0.052751 prob = 1.000000
Edge3662: 48 <--> 86 weight = 0.004965 prob = 0.999956
Edge2946: 36 <--> 48 weight = 0.024135 prob = 0.999069
Edge2499: 29 <--> 63 weight = 0.115987 prob = 0.993675
Edge2487: 29 <--> 51 weight = 0.073761 prob = 1.000000
Edge4675: 76 <--> 77 weight = 0.074779 prob = 0.960682
Edge3265: 41 <--> 67 weight = 0.038197 prob = 1.000000
Edge2156: 24 <--> 80 weight = 0.063245 prob = 0.999686
Edge3067: 38 <--> 46 weight = 0.144359 prob = 1.000000
Edge4595: 72 <--> 95 weight = 0.082493 prob = 0.999908
Edge537: 5 <--> 57 weight = 0.083507 prob = 0.996859
Edge3619: 47 <--> 94 weight = 0.080881 prob = 0.999999
Edge1280: 13 <--> 84 weight = 0.137619 prob = 0.999998
Edge3200: 40 <--> 60 weight = 0.068800 prob = 1.000000
Edge3953: 54 <--> 92 weight = 0.049639 prob = 0.998249
Edge3408: 43 <--> 97 weight = 0.075803 prob = 0.999775
Edge1520: 16 <--> 72 weight = 0.122119 prob = 1.000000
Edge356: 3 <--> 65 weight = 0.098293 prob = 1.000000
Edge665: 6 <--> 92 weight = 0.052274 prob = 0.980239
Edge2171: 24 <--> 95 weight = 0.068633 prob = 0.947077
Edge4824: 83 <--> 93 weight = 0.054054 prob = 1.000000
Edge1582: 17 <--> 52 weight = 0.068098 prob = 0.993983
Edge115: 1 <--> 17 weight = 0.025160 prob = 1.000000
Edge4520: 70 <--> 75 weight = 0.079616 prob = 0.999926
Edge3584: 47 <--> 59 weight = 0.077067 prob = 0.991843
Edge4808: 82 <--> 93 weight = 0.107312 prob = 0.997489
Edge577: 5 <--> 97 weight = 0.092049 prob = 0.978599
Edge2229: 25 <--> 79 weight = 0.117716 prob = 0.999922
Edge2836: 34 <--> 65 weight = 0.178085 prob = 1.000000
Edge791: 8 <--> 35 weight = 0.047766 prob = 0.999919
Edge1936: 21 <--> 88 weight = 0.022745 prob = 1.000000
Edge855: 8 <--> 99 weight = 0.070126 prob = 0.986506
Edge2951: 36 <--> 53 weight = 0.075819 prob = 0.999899
Edge605: 6 <--> 32 weight = 0.039424 prob = 0.999721
Edge4564: 71 <--> 91 weight = 0.058469 prob = 0.991274
Edge50: 0 <--> 50 weight = 0.088195 prob = 0.997869
Edge2398: 28 <--> 32 weight = 0.081141 prob = 0.999936
Edge4769: 80 <--> 89 weight = 0.082906 prob = 0.975481
Edge739: 7 <--> 74 weight = 0.082072 prob = 1.000000
Edge4548: 71 <--> 75 weight = 0.068828 prob = 0.998069
Edge1400: 15 <--> 35 weight = 0.093743 prob = 0.999519
Edge1063: 11 <--> 40 weight = 0.053984 prob = 1.000000
Edge3360: 43 <--> 49 weight = 0.091031 prob = 0.999693
Edge1198: 12 <--> 88 weight = 0.052249 prob = 0.998190
Edge3693: 49 <--> 67 weight = 0.076138 prob = 0.999395
Edge4117: 58 <--> 86 weight = 0.064094 prob = 0.998144
Edge1387: 15 <--> 22 weight = 0.125749 prob = 0.999871
Edge1200: 12 <--> 90 weight = 0.072635 prob = 0.978182
Edge1375: 14 <--> 94 weight = 0.123703 prob = 0.952794
Edge4613: 73 <--> 87 weight = 0.157756 prob = 0.948405
Edge3528: 46 <--> 55 weight = 0.205259 prob = 0.987348
Edge1306: 14 <--> 25 weight = 0.110729 prob = 0.986496
Edge2744: 33 <--> 38 weight = 0.168889 prob = 0.982056
Edge4038: 56 <--> 90 weight = 0.076877 prob = 0.999828
Edge2323: 27 <--> 28 weight = 0.093510 prob = 0.992031
Edge3731: 50 <--> 56 weight = 0.067339 prob = 0.992412
Edge903: 9 <--> 57 weight = 0.184701 prob = 0.986141
Edge317: 3 <--> 26 weight = 0.169042 prob = 0.959878
Edge2588: 30 <--> 83 weight = 0.125796 prob = 0.996771
Edge706: 7 <--> 41 weight = 0.107619 prob = 0.947198
Edge1081: 11 <--> 58 weight = 0.078411 prob = 0.975834
Edge3939: 54 <--> 78 weight = 0.117366 prob = 0.992779
Edge3444: 44 <--> 78 weight = 0.164353 prob = 0.997326
Edge979: 10 <--> 44 weight = 0.159681 prob = 1.000000

