Nodes: 20
Node0:	(0.40571332606579, 0.31268847201850)	19 neighbours: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node1:	(0.39516141844241, 0.50484602193410)	19 neighbours: 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node2:	(0.40137860528704, 0.33320948175399)	19 neighbours: 0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node3:	(0.38788306876915, 0.55782418709117)	19 neighbours: 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node4:	(0.29080348170910, 0.35210665181154)	19 neighbours: 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node5:	(0.52223235012282, 0.60307447092577)	19 neighbours: 0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node6:	(0.38547911144805, 0.77155885355236)	19 neighbours: 0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node7:	(0.09096725227582, 0.39576079695879)	19 neighbours: 0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 
Node8:	(0.22368539733207, 0.38392443554452)	19 neighbours: 0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 
Node9:	(0.28498226019990, 0.72494205588049)	19 neighbours: 0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 
Node10:	(0.24401209526482, 0.43265129406711)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
Node11:	(0.32281755633376, 0.20200612335445)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 
Node12:	(0.71124983387713, 0.02801024954567)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 
Node13:	(0.30534556449990, 0.33436396446544)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 
Node14:	(0.11205456864138, 0.31126120235854)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 
Node15:	(0.86851663281492, 0.62216179584547)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 
Node16:	(0.26690942823426, 0.44708173564507)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 
Node17:	(0.70818778428688, 0.77537686336045)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 
Node18:	(0.29775874610783, 0.87530469695373)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 
Node19:	(0.03661743298799, 0.61466525095674)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 

Cost: 70.664239

Edges: 190
Edge1:	0 <--> 1	weight = 0.19244705000000	prob = 0.00000001868787
Edge2:	0 <--> 2	weight = 0.02097383300000	prob = 1.00000000000000
Edge3:	0 <--> 3	weight = 0.24578331000000	prob = 0.00000000000000
Edge4:	0 <--> 4	weight = 0.12148277500000	prob = 0.00000172223690
Edge5:	0 <--> 5	weight = 0.31289090000000	prob = 0.00000000000000
Edge6:	0 <--> 6	weight = 0.45931628000000	prob = 0.00000000000000
Edge7:	0 <--> 7	weight = 0.32552436000000	prob = 0.00000000000000
Edge8:	0 <--> 8	weight = 0.19547053000000	prob = 0.00000000000000
Edge9:	0 <--> 9	weight = 0.42956840000000	prob = 0.00000000000000
Edge10:	0 <--> 10	weight = 0.20134142000000	prob = 0.00000000000000
Edge11:	0 <--> 11	weight = 0.13828337000000	prob = 0.52617140000000
Edge12:	0 <--> 12	weight = 0.41760537000000	prob = 0.00284819700000
Edge13:	0 <--> 13	weight = 0.10268161400000	prob = 0.03250008000000
Edge14:	0 <--> 14	weight = 0.29366222000000	prob = 0.00000000000000
Edge15:	0 <--> 15	weight = 0.55674106000000	prob = 0.00000000000000
Edge16:	0 <--> 16	weight = 0.19320475000000	prob = 0.00000000000000
Edge17:	0 <--> 17	weight = 0.55278510000000	prob = 0.00000000000000
Edge18:	0 <--> 18	weight = 0.57287973000000	prob = 0.00000000000000
Edge19:	0 <--> 19	weight = 0.47688755000000	prob = 0.00000000000000
Edge20:	1 <--> 2	weight = 0.17174910000000	prob = 0.99841020000000
Edge21:	1 <--> 3	weight = 0.05347579300000	prob = 1.00000000000000
Edge22:	1 <--> 4	weight = 0.18498620000000	prob = 0.00000000000000
Edge23:	1 <--> 5	weight = 0.16061087000000	prob = 0.01245283700000
Edge24:	1 <--> 6	weight = 0.26688853000000	prob = 0.00000000000000
Edge25:	1 <--> 7	weight = 0.32316200000000	prob = 0.00000000000000
Edge26:	1 <--> 8	weight = 0.20982386000000	prob = 0.00000000000000
Edge27:	1 <--> 9	weight = 0.24613352000000	prob = 0.00000000000000
Edge28:	1 <--> 10	weight = 0.16750582000000	prob = 0.00000000000000
Edge29:	1 <--> 11	weight = 0.31136096000000	prob = 0.00000000000000
Edge30:	1 <--> 12	weight = 0.57208765000000	prob = 0.00000000000000
Edge31:	1 <--> 13	weight = 0.19269411000000	prob = 0.00000000000000
Edge32:	1 <--> 14	weight = 0.34296438000000	prob = 0.00000000000000
Edge33:	1 <--> 15	weight = 0.48767626000000	prob = 0.00000000000000
Edge34:	1 <--> 16	weight = 0.14066018000000	prob = 0.00001042579500
Edge35:	1 <--> 17	weight = 0.41372990000000	prob = 0.00000000000000
Edge36:	1 <--> 18	weight = 0.38304950000000	prob = 0.00000000000000
Edge37:	1 <--> 19	weight = 0.37498540000000	prob = 0.00000000000000
Edge38:	2 <--> 3	weight = 0.22501977000000	prob = 0.00000000000000
Edge39:	2 <--> 4	weight = 0.11217826000000	prob = 0.00000170594250
Edge40:	2 <--> 5	weight = 0.29569027000000	prob = 0.00000000000000
